Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,022;0,043;0,034
367,188;0,027;0,086;0,049
371,094;0,008;0,113;0,027
375;0,015;0,044;0,004
378,906;0,034;0,106;0,016
382,813;0,017;0,02;0,017
386,719;0,032;0,044;0,017
390,625;0,078;0,137;0,02
394,531;0,049;0,132;0,018
398,438;0,044;0,156;0,028
402,344;0,063;0,123;0,024
406,25;0,039;0,118;0,021
410,156;0,123;0,129;0,054
414,063;0,133;0,095;0,071
417,969;0,058;0,044;0,045
421,875;0,007;0,013;0,008
425,781;0,01;0,058;0,008
429,688;0,028;0,06;0,023
433,594;0,008;0,041;0,008
437,5;0,029;0,054;0,032
441,406;0,009;0,015;0,002
445,313;0,021;0,094;0,021
449,219;0,012;0,044;0,011
453,125;0,04;0,099;0,032
457,031;0,021;0,094;0,039
460,938;0,027;0,092;0,011
464,844;0,053;0,159;0,01
468,75;0,04;0,068;0,02
472,656;0,064;0,197;0,011
476,563;0,023;0,104;0,008
480,469;0,062;0,142;0,016
484,375;0,028;0,1;0,014
488,281;0,048;0,11;0,016
492,188;0,058;0,14;0,011
496,094;0,047;0,072;0,02
500;0,044;0,179;0,024
503,906;0,054;0,09;0,025
507,813;0,077;0,154;0,006
511,719;0,022;0,067;0,015
515,625;0,044;0,113;0,006
519,531;0,051;0,239;0,031
523,438;0,031;0,109;0,031
527,344;0,037;0,113;0,016
531,25;0,033;0,15;0,026
535,156;0,053;0,121;0,019
539,063;0,075;0,175;0,03
542,969;0,106;0,222;0,009
546,875;0,079;0,163;0,039
550,781;0,051;0,035;0,035
554,688;0,041;0,041;0,04
558,594;0,034;0,151;0,033
562,5;0,042;0,115;0,052
566,406;0,03;0,062;0,031
570,313;0,106;0,094;0,066
574,219;0,036;0,08;0,028
578,125;0,076;0,098;0,042
582,031;0,102;0,083;0,042
585,938;0,068;0,133;0,007
589,844;0,071;0,113;0,038
593,75;0,089;0,042;0,082
597,656;0,031;0,094;0,019
601,563;0,157;0,042;0,09
605,469;0,058;0,064;0,051
609,375;0,021;0,128;0,05
613,281;0,037;0,049;0,004
617,188;0,035;0,085;0,012
621,094;0,011;0,08;0,011
625;0,026;0,101;0,016
628,906;0,042;0,078;0,021
632,813;0,023;0,033;0,022
636,719;0,072;0,074;0,037
640,625;0,051;0,076;0,077
644,531;0,082;0,122;0,085
648,438;0,039;0,073;0,075
652,344;0,035;0,068;0,045
656,25;0,039;0,034;0,027
660,156;0,154;0,052;0,139
664,063;0,016;0,022;0,004
667,969;0,045;0,049;0,054
671,875;0,066;0,041;0,059
675,781;0,035;0,018;0,051
679,688;0,02;0,011;0,01
683,594;0,04;0,03;0,043
687,5;0,031;0,028;0,017
691,406;0,058;0,019;0,039
695,313;0,036;0,025;0,01
699,219;0,008;0,002;0,006
703,125;0,062;0,008;0,034
707,031;0,041;0,022;0,031
710,938;0,042;0,02;0,058
714,844;0,04;0,006;0,061
718,75;0,01;0,035;0,038
722,656;0,038;0,023;0,038
726,563;0,014;0,01;0,008
730,469;0,015;0,024;0,018
734,375;0,043;0,039;0,028
738,281;0,013;0,02;0,01
742,188;0,059;0,014;0,058
746,094;0,018;0,006;0,017
750;0,05;0,022;0,054
753,906;0,039;0,028;0,038
757,813;0,039;0,019;0,047
761,719;0,064;0,008;0,056
765,625;0,013;0,014;0,002
769,531;0,087;0,069;0,122
773,438;0,072;0,032;0,065
777,344;0,071;0,053;0,072
781,25;0,039;0,052;0,055
785,156;0,019;0,056;0,059
789,063;0,021;0,029;0,048
792,969;0,035;0,044;0,063
796,875;0,037;0,028;0,06
800,781;0,028;0,031;0,029
804,688;0,034;0,041;0,062
808,594;0,011;0,039;0,038
812,5;0,038;0,038;0,043
816,406;0,035;0,044;0,047
820,313;0,025;0,047;0,066
824,219;0,013;0,064;0,027
828,125;0,057;0,034;0,068
832,031;0,041;0,031;0,037
835,938;0,019;0,039;0,038
839,844;0,051;0,024;0,067
843,75;0,07;0,022;0,078
847,656;0,042;0,014;0,042
851,563;0,045;0,073;0,072
855,469;0,036;0,022;0,049
859,375;0,044;0,031;0,035
863,281;0,039;0,037;0,017
867,188;0,028;0,008;0,015
871,094;0,038;0,015;0,04
875;0,018;0,046;0,046
878,906;0,044;0,031;0,066
882,813;0,052;0,021;0,049
886,719;0,106;0,008;0,074
890,625;0,051;0,054;0,029
894,531;0,033;0,039;0,029
898,438;0,07;0,018;0,038
902,344;0,079;0,022;0,034
906,25;0,08;0,011;0,049
910,156;0,025;0,043;0,044
914,063;0,027;0,019;0,034
917,969;0,07;0,01;0,027
921,875;0,063;0,039;0,05
925,781;0,037;0,024;0,022
929,688;0,038;0,019;0,016
933,594;0,052;0,036;0,049
937,5;0,027;0,026;0,009
941,406;0,049;0,014;0,019
945,313;0,06;0,013;0,012
949,219;0,042;0,031;0,024
953,125;0,039;0,024;0,016
957,031;0,049;0,036;0,01
960,938;0,031;0,05;0,019
964,844;0,023;0,023;0,012
968,75;0,109;0,007;0,015
972,656;0,002;0,036;0,011
976,563;0,044;0,005;0,008
980,469;0,053;0,03;0,008
984,375;0,031;0,051;0,013
988,281;0,023;0,024;0,014
992,188;0,039;0,018;0,005
996,094;0,032;0,03;0,017
1000;0,01;0,037;0,005
