Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,025;0,01;0,014
367,188;0,034;0,114;0,016
371,094;0,011;0,049;0,036
375;0,025;0,063;0,022
378,906;0,011;0,043;0,016
382,813;0,015;0,026;0,017
386,719;0,038;0,049;0,014
390,625;0,017;0,099;0,016
394,531;0,067;0,085;0,011
398,438;0,034;0,137;0,039
402,344;0,125;0,176;0,027
406,25;0,12;0,163;0,057
410,156;0,029;0,108;0,041
414,063;0,068;0,024;0,042
417,969;0,065;0,074;0,058
421,875;0,011;0,033;0,014
425,781;0,004;0,04;0,009
429,688;0,045;0,05;0,014
433,594;0,021;0,014;0,022
437,5;0,014;0,034;0,018
441,406;0,019;0,091;0,013
445,313;0,024;0,024;0,012
449,219;0,008;0,113;0,039
453,125;0,046;0,129;0,018
457,031;0,014;0,059;0,005
460,938;0,053;0,246;0,048
464,844;0,043;0,186;0,029
468,75;0,031;0,114;0,024
472,656;0,068;0,161;0,006
476,563;0,055;0,209;0,025
480,469;0,053;0,111;0,031
484,375;0,039;0,033;0,015
488,281;0,018;0,05;0,015
492,188;0,072;0,159;0,018
496,094;0,034;0,093;0,019
500;0,049;0,051;0,011
503,906;0,055;0,155;0,021
507,813;0,04;0,064;0,002
511,719;0,025;0,178;0,02
515,625;0,04;0,125;0,022
519,531;0,015;0,084;0,021
523,438;0,023;0,109;0,036
527,344;0,027;0,122;0,008
531,25;0,056;0,077;0,017
535,156;0,069;0,071;0,04
539,063;0,013;0,032;0,013
542,969;0,019;0,046;0,018
546,875;0,06;0,039;0,044
550,781;0,109;0,139;0,048
554,688;0,028;0,08;0,02
558,594;0,044;0,071;0,008
562,5;0,074;0,092;0,061
566,406;0,067;0,074;0,071
570,313;0,148;0,11;0,086
574,219;0,063;0,103;0,028
578,125;0,096;0,099;0,053
582,031;0,092;0,103;0,037
585,938;0,202;0,128;0,131
589,844;0,084;0,004;0,049
593,75;0,128;0,064;0,068
597,656;0,119;0,07;0,107
601,563;0,129;0,069;0,098
605,469;0,038;0,042;0,017
609,375;0,023;0,032;0,02
613,281;0,013;0,024;0,016
617,188;0,027;0,04;0,009
621,094;0,01;0,031;0,038
625;0,03;0,017;0,025
628,906;0,026;0,043;0,022
632,813;0,115;0,163;0,039
636,719;0,002;0,026;0,015
640,625;0,057;0,088;0,055
644,531;0,031;0,047;0,011
648,438;0,063;0,032;0,038
652,344;0,043;0,036;0,023
656,25;0,031;0,051;0,041
660,156;0,021;0,018;0,015
664,063;0,03;0,031;0,039
667,969;0,008;0,023;0,014
671,875;0,047;0,041;0,049
675,781;0,027;0,018;0,029
679,688;0,025;0,011;0,034
683,594;0,035;0,023;0,031
687,5;0,026;0,01;0,031
691,406;0,026;0,043;0,046
695,313;0,029;0,018;0,043
699,219;0,02;0,023;0,031
703,125;0,016;0,034;0,022
707,031;0,026;0,046;0,057
710,938;0,037;0,025;0,053
714,844;0,023;0,006;0,024
718,75;0,02;0,005;0,02
722,656;0,004;0,017;0,016
726,563;0,028;0,01;0,034
730,469;0,024;0,015;0,022
734,375;0,019;0,01;0,016
738,281;0,037;0,025;0,029
742,188;0,018;0,008;0,012
746,094;0,037;0,021;0,05
750;0,009;0,008;0,002
753,906;0,051;0,022;0,052
757,813;0,015;0,007;0,007
761,719;0,024;0,032;0,016
765,625;0,021;0,012;0,028
769,531;0,018;0,005;0,022
773,438;0,022;0,025;0,034
777,344;0,028;0,007;0,029
781,25;0,019;0,005;0,019
785,156;0,044;0,032;0,061
789,063;0,035;0,034;0,046
792,969;0,044;0,014;0,051
796,875;0,016;0,018;0,021
800,781;0,031;0,048;0,029
804,688;0,005;0,025;0,037
808,594;0,045;0,019;0,042
812,5;0,057;0,044;0,074
816,406;0,017;0,02;0,024
820,313;0,011;0,02;0,022
824,219;0,017;0,032;0,034
828,125;0,018;0,018;0,006
832,031;0,034;0,08;0,082
835,938;0,055;0,037;0,061
839,844;0,052;0,043;0,062
843,75;0,023;0,011;0,041
847,656;0,057;0,024;0,041
851,563;0,074;0,043;0,076
855,469;0,006;0,047;0,049
859,375;0,003;0,041;0,04
863,281;0,05;0,031;0,068
867,188;0,035;0,09;0,083
871,094;0,031;0,036;0,012
875;0,031;0,027;0,017
878,906;0,056;0,038;0,042
882,813;0,057;0,018;0,044
886,719;0,047;0,058;0,046
890,625;0,006;0,076;0,042
894,531;0,041;0,082;0,041
898,438;0,066;0,051;0,04
902,344;0,089;0,028;0,045
906,25;0,028;0,042;0,012
910,156;0,016;0,019;0,019
914,063;0,035;0,059;0,047
917,969;0,108;0,01;0,062
921,875;0,084;0,068;0,076
925,781;0,066;0,04;0,042
929,688;0,084;0,047;0,046
933,594;0,085;0,033;0,036
937,5;0,023;0,058;0,023
941,406;0,031;0,009;0,003
945,313;0,106;0,064;0,059
949,219;0,099;0,063;0,025
953,125;0,013;0,045;0,019
957,031;0,062;0,026;0,02
960,938;0,034;0,019;0,003
964,844;0,048;0,045;0,019
968,75;0,019;0,006;0,003
972,656;0,075;0,033;0,003
976,563;0,068;0,016;0,022
980,469;0,045;0,037;0,012
984,375;0,022;0,007;0,004
988,281;0,013;0,001;0,017
992,188;0,039;0,035;0,017
996,094;0,031;0,022;0,011
1 000;0,019;0,013;0,017
