Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,033;0,044;0,035
367,188;0,035;0,092;0,011
371,094;0,072;0,113;0,011
375;0,03;0,062;0,012
378,906;0,052;0,07;0,011
382,813;0,021;0,031;0,011
386,719;0,038;0,042;0,017
390,625;0,008;0,062;0,003
394,531;0,013;0,046;0,023
398,438;0,05;0,038;0,029
402,344;0,084;0,165;0,063
406,25;0,07;0,1;0,044
410,156;0,071;0,084;0,023
414,063;0,05;0,007;0,019
417,969;0,097;0,08;0,064
421,875;0,02;0,026;0,031
425,781;0,03;0,039;0,027
429,688;0,032;0,024;0,022
433,594;0,005;0,014;0,005
437,5;0,026;0,052;0,04
441,406;0,015;0,03;0,005
445,313;0,029;0,086;0,02
449,219;0,027;0,087;0,018
453,125;0,024;0,029;0,021
457,031;0,031;0,078;0,004
460,938;0,068;0,222;0,007
464,844;0,021;0,045;0,02
468,75;0,042;0,156;0,019
472,656;0,04;0,127;0,019
476,563;0,016;0,072;0,019
480,469;0,047;0,076;0,023
484,375;0,057;0,146;0,014
488,281;0,047;0,142;0,012
492,188;0,083;0,224;0,014
496,094;0,087;0,279;0,012
500;0,027;0,108;0,011
503,906;0,058;0,205;0,008
507,813;0,093;0,226;0,033
511,719;0,086;0,212;0,007
515,625;0,073;0,235;0,019
519,531;0,018;0,02;0,015
523,438;0,06;0,23;0,005
527,344;0,051;0,153;0,009
531,25;0,062;0,237;0,045
535,156;0,11;0,138;0,046
539,063;0,041;0,165;0,01
542,969;0,039;0,103;0,022
546,875;0,026;0,069;0,012
550,781;0,076;0,186;0,012
554,688;0,057;0,192;0,031
558,594;0,082;0,112;0,014
562,5;0,029;0,058;0,012
566,406;0,108;0,106;0,05
570,313;0,082;0,165;0,03
574,219;0,052;0,229;0,036
578,125;0,09;0,034;0,041
582,031;0,151;0,127;0,078
585,938;0,092;0,07;0,097
589,844;0,07;0,083;0,089
593,75;0,103;0,111;0,08
597,656;0,181;0,126;0,127
601,563;0,141;0,021;0,089
605,469;0,029;0,022;0,038
609,375;0,096;0,074;0,039
613,281;0,031;0,065;0,01
617,188;0,014;0,065;0,008
621,094;0,02;0,037;0,013
625;0,057;0,049;0,029
628,906;0,053;0,054;0,018
632,813;0,039;0,053;0,026
636,719;0,048;0,062;0,021
640,625;0,143;0,175;0,119
644,531;0,105;0,092;0,12
648,438;0,026;0,025;0,038
652,344;0,053;0,031;0,059
656,25;0,018;0,011;0,017
660,156;0,019;0,021;0,035
664,063;0,019;0,023;0,021
667,969;0,025;0,035;0,025
671,875;0,033;0,034;0,043
675,781;0,021;0,028;0,017
679,688;0,048;0,012;0,029
683,594;0,031;0,024;0,038
687,5;0,047;0,043;0,024
691,406;0,012;0,009;0,019
695,313;0,038;0,002;0,041
699,219;0,047;0,022;0,029
703,125;0,006;0,013;0,014
707,031;0,024;0,018;0,029
710,938;0,007;0,013;0,013
714,844;0,015;0,018;0,008
718,75;0,02;0,019;0,029
722,656;0,002;0,014;0,002
726,563;0,015;0,011;0,022
730,469;0,005;0,008;0,008
734,375;0,02;0,019;0,015
738,281;0,066;0,025;0,047
742,188;0,078;0,032;0,09
746,094;0,04;0,023;0,043
750;0,029;0,031;0,044
753,906;0,034;0,008;0,028
757,813;0,1;0,036;0,112
761,719;0,06;0,014;0,047
765,625;0,056;0,014;0,047
769,531;0,015;0,013;0,008
773,438;0,054;0,039;0,043
777,344;0,046;0,027;0,046
781,25;0,034;0,046;0,039
785,156;0,041;0,052;0,069
789,063;0,039;0,046;0,072
792,969;0,026;0,045;0,069
796,875;0,018;0,027;0,035
800,781;0,039;0,061;0,08
804,688;0,043;0,018;0,053
808,594;0,05;0,027;0,054
812,5;0,035;0,026;0,017
816,406;0,057;0,08;0,097
820,313;0,024;0,054;0,042
824,219;0,032;0,059;0,076
828,125;0,038;0,02;0,011
832,031;0,015;0,047;0,037
835,938;0,027;0,058;0,03
839,844;0,041;0,034;0,025
843,75;0,025;0,053;0,04
847,656;0,011;0,02;0,022
851,563;0,039;0,021;0,03
855,469;0,047;0,058;0,07
859,375;0,046;0,013;0,032
863,281;0,035;0,061;0,065
867,188;0,054;0,042;0,099
871,094;0,058;0,042;0,071
875;0,045;0,062;0,036
878,906;0,093;0,037;0,044
882,813;0,039;0,08;0,022
886,719;0,007;0,029;0,004
890,625;0,016;0,038;0,047
894,531;0,035;0,071;0,043
898,438;0,018;0,027;0,018
902,344;0,037;0,026;0,022
906,25;0,05;0,025;0,011
910,156;0,053;0,021;0,025
914,063;0,045;0,027;0,016
917,969;0,026;0,033;0,007
921,875;0,043;0,058;0,025
925,781;0,06;0,016;0,016
929,688;0,028;0,035;0,02
933,594;0,03;0,024;0,044
937,5;0,049;0,026;0,003
941,406;0,099;0,068;0,036
945,313;0,079;0,06;0,036
949,219;0,044;0,014;0,011
953,125;0,047;0,052;0,019
957,031;0,015;0,023;0,017
960,938;0,055;0,053;0,032
964,844;0,012;0,044;0,016
968,75;0,02;0,055;0,022
972,656;0,027;0,02;0,006
976,563;0,059;0,031;0,011
980,469;0,047;0,018;0,009
984,375;0,035;0,038;0,01
988,281;0,031;0,025;0,011
992,188;0,044;0,011;0,024
996,094;0,051;0,029;0,014
1 000;0,066;0,015;0,015
