Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,017;0,049;0,005
367,188;0,007;0,058;0,024
371,094;0,028;0,033;0,008
375;0,033;0,037;0,009
378,906;0,017;0,04;0,02
382,813;0,03;0,062;0,002
386,719;0,023;0,061;0,005
390,625;0,033;0,064;0,013
394,531;0,037;0,079;0,025
398,438;0,046;0,096;0,022
402,344;0,012;0,073;0,015
406,25;0,029;0,077;0,026
410,156;0,042;0,015;0,012
414,063;0,026;0,031;0,012
417,969;0,032;0,041;0,045
421,875;0,087;0,079;0,058
425,781;0,044;0,017;0,024
429,688;0,004;0,027;0,003
433,594;0,013;0,073;0,033
437,5;0,029;0,049;0,017
441,406;0,038;0,039;0,027
445,313;0,058;0,159;0,004
449,219;0,017;0,038;0,005
453,125;0,03;0,087;0,015
457,031;0,04;0,09;0,03
460,938;0,012;0,052;0,011
464,844;0,04;0,127;0,017
468,75;0,045;0,155;0,005
472,656;0,039;0,062;0,026
476,563;0,028;0,072;0,013
480,469;0,054;0,128;0,022
484,375;0,026;0,097;0,011
488,281;0,016;0,058;0,012
492,188;0,074;0,215;0,008
496,094;0,05;0,091;0,026
500;0,018;0,059;0,022
503,906;0,057;0,164;0,01
507,813;0,004;0,101;0,018
511,719;0,051;0,211;0,012
515,625;0,044;0,06;0,023
519,531;0,042;0,065;0,017
523,438;0,006;0,007;0,015
527,344;0,074;0,23;0,049
531,25;0,122;0,249;0,015
535,156;0,049;0,092;0,037
539,063;0,034;0,036;0,029
542,969;0,052;0,038;0,02
546,875;0,052;0,06;0,02
550,781;0,055;0,13;0,021
554,688;0,042;0,128;0,039
558,594;0,07;0,062;0,036
562,5;0,044;0,045;0,012
566,406;0,059;0,043;0,028
570,313;0,069;0,16;0,013
574,219;0,054;0,114;0,056
578,125;0,119;0,155;0,071
582,031;0,11;0,118;0,041
585,938;0,175;0,114;0,118
589,844;0,061;0,036;0,045
593,75;0,104;0,087;0,067
597,656;0,049;0,028;0,031
601,563;0,024;0,044;0,018
605,469;0,104;0,07;0,07
609,375;0,076;0,094;0,034
613,281;0,02;0,043;0,014
617,188;0,019;0,028;0,011
621,094;0,059;0,054;0,02
625;0,023;0,04;0,013
628,906;0,021;0,034;0,008
632,813;0,038;0,049;0,031
636,719;0,03;0,028;0,027
640,625;0,036;0,063;0,042
644,531;0,03;0,041;0,021
648,438;0,034;0,072;0,056
652,344;0,025;0,025;0,023
656,25;0,02;0,019;0,029
660,156;0,019;0,017;0,032
664,063;0,012;0,003;0,025
667,969;0,017;0,023;0,021
671,875;0,021;0,042;0,02
675,781;0,024;0,005;0,035
679,688;0,048;0,008;0,023
683,594;0,043;0,064;0,078
687,5;0,026;0,011;0,028
691,406;0,04;0,02;0,046
695,313;0,046;0,033;0,036
699,219;0,034;0,006;0,03
703,125;0,046;0,029;0,034
707,031;0,033;0,009;0,02
710,938;0,007;0,015;0,012
714,844;0,029;0,026;0,033
718,75;0,022;0,024;0,013
722,656;0,02;0,017;0,011
726,563;0,027;0,021;0,03
730,469;0,018;0,027;0,018
734,375;0,056;0,05;0,063
738,281;0,039;0,032;0,032
742,188;0,045;0,029;0,032
746,094;0,011;0,024;0,01
750;0,026;0,054;0,014
753,906;0,028;0,024;0,04
757,813;0,023;0,004;0,025
761,719;0,02;0,01;0,022
765,625;0,043;0,019;0,059
769,531;0,066;0,025;0,077
773,438;0,026;0,01;0,03
777,344;0,04;0,04;0,043
781,25;0,018;0,036;0,044
785,156;0,047;0,039;0,069
789,063;0,025;0,015;0,035
792,969;0,052;0,045;0,047
796,875;0,029;0,061;0,079
800,781;0,033;0,037;0,05
804,688;0,016;0,022;0,026
808,594;0,009;0,01;0,001
812,5;0,039;0,036;0,074
816,406;0,019;0,05;0,033
820,313;0,012;0,033;0,032
824,219;0,004;0,008;0,015
828,125;0,018;0,035;0,036
832,031;0,009;0,119;0,077
835,938;0,038;0,029;0,039
839,844;0,037;0,024;0,041
843,75;0,044;0,03;0,053
847,656;0,05;0,059;0,042
851,563;0,06;0,055;0,079
855,469;0,05;0,033;0,072
859,375;0,04;0,026;0,05
863,281;0,058;0,07;0,015
867,188;0,018;0,048;0,026
871,094;0,052;0,082;0,038
875;0,065;0,065;0,098
878,906;0,025;0,028;0,01
882,813;0,109;0,088;0,108
886,719;0,05;0,016;0,049
890,625;0,085;0,066;0,03
894,531;0,077;0,048;0,033
898,438;0,037;0,051;0,065
902,344;0,035;0,015;0,021
906,25;0,028;0,035;0,009
910,156;0,112;0,017;0,075
914,063;0,063;0,036;0,032
917,969;0,071;0,009;0,043
921,875;0,009;0,029;0,022
925,781;0,015;0,01;0,009
929,688;0,06;0,033;0,055
933,594;0,079;0,041;0,046
937,5;0,059;0,036;0,032
941,406;0,042;0,009;0,03
945,313;0,033;0,017;0,02
949,219;0,021;0,014;0,013
953,125;0,047;0,017;0,009
957,031;0,018;0,01;0,008
960,938;0,04;0,028;0,018
964,844;0,007;0,047;0,016
968,75;0,029;0,032;0,024
972,656;0,028;0,019;0,014
976,563;0,024;0,01;0,008
980,469;0,019;0,03;0,015
984,375;0,054;0,003;0,01
988,281;0,013;0,015;0,008
992,188;0,072;0,024;0,023
996,094;0,015;0,028;0,008
1 000;0,033;0,048;0,02
