Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,032;0,083;0,052
367,188;0,025;0,025;0,02
371,094;0,031;0,105;0,018
375;0,017;0,055;0,016
378,906;0,034;0,115;0,014
382,813;0,03;0,032;0,004
386,719;0,02;0,052;0,021
390,625;0,043;0,07;0,009
394,531;0,025;0,079;0,008
398,438;0,077;0,194;0,04
402,344;0,063;0,17;0,05
406,25;0,104;0,204;0,052
410,156;0,018;0,089;0,048
414,063;0,032;0,068;0,038
417,969;0,081;0,147;0,058
421,875;0,043;0,01;0,019
425,781;0,023;0,02;0,015
429,688;0,032;0,042;0,012
433,594;0,035;0,038;0,029
437,5;0,023;0,044;0,017
441,406;0,017;0,041;0,01
445,313;0,024;0,031;0,035
449,219;0,006;0,062;0,023
453,125;0,028;0,111;0,049
457,031;0,063;0,243;0,018
460,938;0,044;0,104;0,015
464,844;0,026;0,085;0,023
468,75;0,049;0,174;0,036
472,656;0,027;0,11;0,031
476,563;0,034;0,193;0,018
480,469;0,018;0,102;0,028
484,375;0,075;0,167;0,012
488,281;0,13;0,294;0,023
492,188;0,037;0,096;0,02
496,094;0,081;0,142;0,02
500;0,004;0,027;0,013
503,906;0,051;0,12;0,014
507,813;0,028;0,063;0,021
511,719;0,039;0,076;0,011
515,625;0,054;0,089;0,029
519,531;0,037;0,069;0,017
523,438;0,048;0,169;0,012
527,344;0,064;0,191;0,008
531,25;0,041;0,039;0,018
535,156;0,043;0,111;0,013
539,063;0,081;0,114;0,038
542,969;0,076;0,206;0,048
546,875;0,024;0,035;0,022
550,781;0,013;0,024;0,022
554,688;0,047;0,177;0,01
558,594;0,032;0,052;0,027
562,5;0,04;0,101;0,038
566,406;0,021;0,101;0,03
570,313;0,093;0,088;0,061
574,219;0,092;0,069;0,068
578,125;0,145;0,074;0,077
582,031;0,065;0,045;0,026
585,938;0,147;0,099;0,09
589,844;0,068;0,056;0,036
593,75;0,066;0,051;0,033
597,656;0,069;0,08;0,044
601,563;0,058;0,055;0,035
605,469;0,011;0,035;0,026
609,375;0,099;0,029;0,059
613,281;0,045;0,011;0,034
617,188;0,033;0,067;0,042
621,094;0,047;0,1;0,047
625;0,05;0,057;0,034
628,906;0,069;0,058;0,04
632,813;0,019;0,064;0,02
636,719;0,07;0,114;0,063
640,625;0,028;0,015;0,03
644,531;0,14;0,093;0,139
648,438;0,093;0,095;0,12
652,344;0,112;0,1;0,125
656,25;0,042;0,05;0,046
660,156;0,019;0,014;0,028
664,063;0,07;0,036;0,078
667,969;0,03;0,02;0,022
671,875;0,017;0,011;0,017
675,781;0,062;0,039;0,084
679,688;0,019;0,008;0,017
683,594;0,041;0,023;0,058
687,5;0,036;0,031;0,045
691,406;0,05;0,023;0,032
695,313;0,022;0,041;0,051
699,219;0,045;0,016;0,02
703,125;0,019;0,019;0,028
707,031;0,016;0,014;0,013
710,938;0,019;0,04;0,027
714,844;0,04;0,014;0,049
718,75;0,034;0,013;0,036
722,656;0,023;0,007;0,025
726,563;0,015;0,009;0,026
730,469;0,014;0,012;0,026
734,375;0,014;0,016;0,009
738,281;0,034;0,023;0,029
742,188;0,013;0,011;0,009
746,094;0,056;0,023;0,044
750;0,026;0,02;0,022
753,906;0,059;0,021;0,064
757,813;0,038;0,021;0,043
761,719;0,024;0,016;0,012
765,625;0,065;0,025;0,076
769,531;0,056;0,03;0,039
773,438;0,028;0,009;0,019
777,344;0,071;0,062;0,079
781,25;0,017;0,02;0,025
785,156;0,032;0,004;0,043
789,063;0,042;0,08;0,11
792,969;0,042;0,016;0,034
796,875;0,023;0,037;0,023
800,781;0,042;0,035;0,063
804,688;0,058;0,039;0,072
808,594;0,03;0,024;0,007
812,5;0,061;0,039;0,052
816,406;0,068;0,051;0,081
820,313;0,029;0,037;0,051
824,219;0,011;0,008;0,008
828,125;0,04;0,076;0,034
832,031;0,012;0,052;0,022
835,938;0,029;0,045;0,014
839,844;0,027;0,07;0,062
843,75;0,054;0,048;0,085
847,656;0,031;0,008;0,031
851,563;0,05;0,046;0,068
855,469;0,075;0,081;0,06
859,375;0,032;0,032;0,034
863,281;0,016;0,025;0,024
867,188;0,024;0,072;0,043
871,094;0,067;0,089;0,025
875;0,029;0,069;0,033
878,906;0,093;0,068;0,105
882,813;0,065;0,026;0,038
886,719;0,043;0,043;0,03
890,625;0,052;0,042;0,062
894,531;0,012;0,027;0,024
898,438;0,063;0,037;0,029
902,344;0,075;0,02;0,045
906,25;0,037;0,027;0,021
910,156;0,063;0,025;0,052
914,063;0,057;0,029;0,055
917,969;0,076;0,037;0,059
921,875;0,023;0,034;0,021
925,781;0,039;0,022;0,013
929,688;0,018;0,027;0,009
933,594;0,056;0,057;0,018
937,5;0,083;0,027;0,022
941,406;0,048;0,017;0,011
945,313;0,054;0,028;0,017
949,219;0,017;0,02;0,015
953,125;0,042;0,037;0,018
957,031;0,077;0,063;0,021
960,938;0,096;0,036;0,014
964,844;0,021;0,039;0,008
968,75;0,011;0,01;0,012
972,656;0,013;0,022;0,005
976,563;0,036;0,025;0,008
980,469;0,045;0,019;0,012
984,375;0,022;0,03;0,008
988,281;0,004;0,007;0,008
992,188;0,011;0,025;0,007
996,094;0,016;0,003;0,014
1 000;0,008;0,013;0,012
