Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,035;0,008;0,038
367,188;0,019;0,052;0,055
371,094;0,036;0,067;0,034
375;0,052;0,159;0,025
378,906;0,04;0,122;0,029
382,813;0,036;0,083;0,013
386,719;0,025;0,063;0,003
390,625;0,038;0,069;0,019
394,531;0,053;0,116;0,019
398,438;0,028;0,045;0,028
402,344;0,109;0,146;0,017
406,25;0,028;0,152;0,03
410,156;0,078;0,126;0,09
414,063;0,048;0,047;0,016
417,969;0,019;0,04;0,031
421,875;0,035;0,083;0,04
425,781;0,03;0,07;0,016
429,688;0,043;0,019;0,026
433,594;0,02;0,032;0,014
437,5;0,048;0,023;0,019
441,406;0,031;0,029;0,021
445,313;0,026;0,026;0,027
449,219;0,033;0,083;0,001
453,125;0,033;0,083;0,002
457,031;0,053;0,133;0,04
460,938;0,006;0,033;0,031
464,844;0,015;0,031;0,03
468,75;0,061;0,215;0,018
472,656;0,033;0,087;0,009
476,563;0,028;0,122;0,029
480,469;0,02;0,068;0,009
484,375;0,017;0,124;0,024
488,281;0,041;0,018;0,012
492,188;0,067;0,177;0,011
496,094;0,007;0,066;0,018
500;0,012;0,07;0,008
503,906;0,051;0,109;0,012
507,813;0,035;0,068;0,005
511,719;0,022;0,095;0,017
515,625;0,024;0,083;0,01
519,531;0,083;0,19;0,019
523,438;0,04;0,08;0,035
527,344;0,021;0,106;0,006
531,25;0,067;0,187;0,02
535,156;0,038;0,19;0,023
539,063;0,095;0,226;0,037
542,969;0,077;0,148;0,017
546,875;0,003;0,111;0,007
550,781;0,056;0,08;0,009
554,688;0,086;0,063;0,039
558,594;0,117;0,165;0,057
562,5;0,123;0,192;0,028
566,406;0,068;0,029;0,043
570,313;0,077;0,061;0,055
574,219;0,129;0,083;0,061
578,125;0,103;0,133;0,037
582,031;0,221;0,098;0,113
585,938;0,266;0,15;0,152
589,844;0,122;0,032;0,072
593,75;0,053;0,015;0,022
597,656;0,087;0,093;0,049
601,563;0,013;0,054;0,053
605,469;0,057;0,033;0,059
609,375;0,104;0,018;0,051
613,281;0,026;0,02;0,029
617,188;0,04;0,011;0,023
621,094;0,085;0,015;0,056
625;0,046;0,059;0,017
628,906;0,026;0,048;0,03
632,813;0,028;0,03;0,031
636,719;0,039;0,011;0,02
640,625;0,071;0,057;0,058
644,531;0,1;0,045;0,07
648,438;0,049;0,098;0,04
652,344;0,032;0,025;0,018
656,25;0,069;0,066;0,068
660,156;0,073;0,046;0,045
664,063;0,069;0,044;0,069
667,969;0,05;0,034;0,02
671,875;0,062;0,039;0,075
675,781;0,037;0,054;0,051
679,688;0,019;0,033;0,022
683,594;0,019;0,021;0,014
687,5;0,04;0,022;0,039
691,406;0,025;0,016;0,018
695,313;0,027;0,032;0,055
699,219;0,063;0,033;0,066
703,125;0,018;0,029;0,02
707,031;0,063;0,019;0,066
710,938;0,011;0,022;0,02
714,844;0,01;0,017;0,02
718,75;0,033;0,022;0,042
722,656;0,047;0,029;0,062
726,563;0,032;0,012;0,045
730,469;0,003;0,015;0,014
734,375;0,041;0,039;0,047
738,281;0,061;0,033;0,059
742,188;0,018;0,034;0,024
746,094;0,011;0,036;0,01
750;0,049;0,017;0,047
753,906;0,05;0,022;0,039
757,813;0,052;0,009;0,054
761,719;0,039;0,012;0,045
765,625;0,027;0,03;0,022
769,531;0,041;0,021;0,052
773,438;0,065;0,056;0,079
777,344;0,036;0,018;0,047
781,25;0,024;0,002;0,033
785,156;0,032;0,035;0,06
789,063;0,013;0,04;0,039
792,969;0,05;0,057;0,094
796,875;0,031;0,013;0,036
800,781;0,05;0,07;0,101
804,688;0,013;0,041;0,043
808,594;0,011;0,042;0,029
812,5;0,045;0,022;0,057
816,406;0,059;0,04;0,078
820,313;0,041;0,02;0,025
824,219;0,021;0,039;0,027
828,125;0,06;0,103;0,13
832,031;0,01;0,036;0,043
835,938;0,015;0,063;0,045
839,844;0,021;0,042;0,022
843,75;0,046;0,088;0,069
847,656;0,065;0,067;0,061
851,563;0,039;0,091;0,072
855,469;0,044;0,068;0,037
859,375;0,011;0,023;0,054
863,281;0,019;0,021;0,031
867,188;0,028;0,08;0,095
871,094;0,059;0,011;0,065
875;0,052;0,063;0,087
878,906;0,043;0,046;0,046
882,813;0,043;0,087;0,093
886,719;0,012;0,046;0,013
890,625;0,056;0,031;0,029
894,531;0,017;0,043;0,029
898,438;0,048;0,042;0,03
902,344;0,027;0,019;0,009
906,25;0,072;0,018;0,051
910,156;0,068;0,017;0,018
914,063;0,097;0,002;0,049
917,969;0,036;0,015;0,042
921,875;0,03;0,023;0,01
925,781;0,04;0,054;0,051
929,688;0,043;0,013;0,02
933,594;0,044;0,021;0,013
937,5;0,098;0,021;0,048
941,406;0,058;0,003;0,031
945,313;0,055;0,011;0,016
949,219;0,025;0,031;0,014
953,125;0,035;0,03;0,027
957,031;0,061;0,027;0,013
960,938;0,034;0,027;0,008
964,844;0,021;0,049;0,014
968,75;0,032;0,018;0,006
972,656;0,015;0,04;0,019
976,563;0,025;0,021;0,005
980,469;0,024;0,021;0,01
984,375;0,037;0,03;0,012
988,281;0,034;0,016;0,018
992,188;0,024;0,024;0,004
996,094;0,022;0,037;0,025
1 000;0,019;0,02;0,008
