x y z t
-0.095 -0.026 9.803 5
-0.095 -0.026 9.803 5
-0.095 -0.026 9.803 5
-0.095 -0.026 9.803 5
-0.267 -0.208 9.755 6
-0.267 -0.208 9.755 4
-0.267 -0.208 9.755 5
0.201 0.193 9.391 5
0.201 0.193 9.391 5
0.201 0.193 9.391 5
0.201 0.193 9.391 6
0.22 0.078 9.554 5
0.22 0.078 9.554 4
0.22 0.078 9.554 6
0.22 0.078 9.554 4
0.01 0.04 10.148 5
0.01 0.04 10.148 6
0.01 0.04 10.148 5
0.01 0.04 10.148 4
0.096 -0.036 9.611 5
0.096 -0.036 9.611 5
0.096 -0.036 9.611 5
0.096 -0.036 9.611 6
0.144 0.298 8.701 5
0.144 0.298 8.701 4
0.144 0.298 8.701 5
0.144 0.298 8.701 5
-0.19 0.03 9.63 5
-0.19 0.03 9.63 5
-0.19 0.03 9.63 6
-0.19 0.03 9.63 4
0.201 0.03 10.243 5
0.201 0.03 10.243 5
0.201 0.03 10.243 5
0.201 0.03 10.243 5
0.029 0.011 9.563 6
0.029 0.011 9.563 5
0.029 0.011 9.563 4
0.029 0.011 9.563 5
0.077 0.155 9.4 5
0.077 0.155 9.4 5
0.077 0.155 9.4 6
0.077 0.155 9.4 5
0.125 0.164 9.429 4
0.125 0.164 9.429 5
0.125 0.164 9.429 5
0.125 0.164 9.429 5
0.096 -0.074 9.975 6
0.096 -0.074 9.975 5
0.096 -0.074 9.975 4
0.096 -0.074 9.975 5
0.153 0.174 9.841 5
0.153 0.174 9.841 5
0.153 0.174 9.841 6
0.153 0.174 9.841 5
-0.008 0.116 9.496 4
-0.008 0.116 9.496 5
-0.008 0.116 9.496 5
0.019 0.135 9.324 5
0.019 0.135 9.324 5
0.019 0.135 9.324 6
0.019 0.135 9.324 5
0.297 -0.017 9.65 4
0.297 -0.017 9.65 5
0.297 -0.017 9.65 5
0.297 -0.017 9.65 5
-0.114 0.26 9.257 6
-0.114 0.26 9.257 5
-0.114 0.26 9.257 4
-0.114 0.26 9.257 5
-0.008 -0.017 9.994 5
-0.008 -0.017 9.994 5
-0.008 -0.017 9.994 6
-0.008 -0.017 9.994 5
0.019 0.03 9.736 4
0.019 0.03 9.736 5
0.019 0.03 9.736 5
0.019 0.03 9.736 5
0.508 0.308 8.721 5
0.508 0.308 8.721 6
0.508 0.308 8.721 4
0.508 0.308 8.721 5
0.029 -0.074 9.793 5
0.029 -0.074 9.793 5
0.029 -0.074 9.793 5
0.029 -0.074 9.793 6
-0.066 0.145 9.966 5
-0.066 0.145 9.966 4
-0.066 0.145 9.966 5
-0.066 0.145 9.966 5
-0.2 -0.141 9.544 5
-0.2 -0.141 9.544 6
-0.2 -0.141 9.544 5
-0.2 -0.141 9.544 5
0.144 0.384 9.276 4
0.144 0.384 9.276 5
0.144 0.384 9.276 5
0.144 0.384 9.276 6
0.307 0.126 9.726 5
0.307 0.126 9.726 4
0.307 0.126 9.726 5
0.307 0.126 9.726 5
0.259 0.03 9.975 5
0.259 0.03 9.975 5
0.259 0.03 9.975 6
0.029 0.001 9.238 4
0.029 0.001 9.238 5
0.029 0.001 9.238 5
0.029 0.001 9.238 5
-0.085 0.222 9.19 5
-0.085 0.222 9.19 6
-0.085 0.222 9.19 5
-0.085 0.222 9.19 4
0.182 0.03 9.65 5
0.182 0.03 9.65 5
0.182 0.03 9.65 5
0.182 0.03 9.65 6
0.307 0.059 10.013 5
0.307 0.059 10.013 4
0.307 0.059 10.013 5
0.307 0.059 10.013 5
-0.037 0.068 9.621 5
-0.037 0.068 9.621 6
-0.037 0.068 9.621 5
-0.037 0.068 9.621 4
0.048 0.116 9.87 5
0.048 0.116 9.87 5
0.048 0.116 9.87 5
0.048 0.116 9.87 5
0.402 0.116 8.979 6
0.402 0.116 8.979 4
0.402 0.116 8.979 5
0.402 0.116 8.979 5
0.096 0.068 9.353 6
0.096 0.068 9.353 4
0.096 0.068 9.353 6
0.096 0.068 9.353 5
-0.133 0.049 10.329 4
-0.133 0.049 10.329 5
-0.133 0.049 10.329 5
-0.133 0.049 10.329 5
0.153 0.068 9.487 6
0.153 0.068 9.487 5
0.153 0.068 9.487 4
0.153 0.068 9.487 5
