rpm_limit,hardware,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_margin,temporal_shape,temporal_impulse,temporal_crest,temporal_skewness,temporal_kurtosis,spectral_flux,spectral_noisiness,spectral_roll_off,spectral_entropy,spectral_negentropy,spectral_std,spectral_roll_on,spectral_energy,spectral_skewness,spectral_kurtosis,spectral_centroid
False,bearings,anomaly_90,A,False,3.659305710022972,5.039684199579492,8.276772529143365,5.241482788417794,5.313292845913055,1.4422495703074085,7.368062997280775,6.603854497789252,3.4199518933533946,3.5568933044900626,1.8171205928321397,3.5568933044900626,3.659305710022972,3.0365889718756627,5.241482788417794,7.133492489728308,5.45136177849642,7.368062997280775,6.299605249474365,7.343420462049963,7.999999999999998
False,bearings,anomaly_90,B,False,1.5874010519681994,2.620741394208897,8.65349742184445,6.0822019955734,5.768998281229634,5.808785733563703,6.000000000000001,4.820284528350459,10.000000000000002,1.709975946676697,5.428835233189813,3.77976314968462,2.924017738212866,1.709975946676697,8.138223044397703,5.45136177849642,7.651724731089557,7.851424410539691,6.868285455319991,9.28317766722556,2.2894284851066637
True,shaft,fault,A,False,1.5874010519681994,2.620741394208897,5.428835233189813,4.308869380063767,6.649399761150975,1.4422495703074085,7.651724731089557,9.000000000000002,5.646216173286171,10.000000000000002,4.820284528350459,1.2599210498948732,3.3019272488946263,3.5568933044900626,3.1748021039363983,5.517848352762241,8.987637347075681,7.368062997280775,6.0822019955734,8.242570599617114,9.622602989987483
True,shaft,fault,B,False,1.0,2.0,5.943921952763129,4.308869380063767,6.214465011907715,3.0000000000000004,7.958114415792782,7.55952629936924,8.572618882313398,7.368062997280775,4.578856970213327,8.65349742184445,8.457690558114923,2.519842099789746,8.242570599617114,3.0000000000000004,10.322801154563672,4.820284528350459,5.593444710406984,6.868285455319991,1.0
True,shaft,anomaly_60,A,False,1.5874010519681994,2.620741394208897,1.709975946676697,5.241482788417794,6.649399761150975,5.768998281229634,5.241482788417794,5.593444710406984,9.28317766722556,9.321697517861576,7.862224182626692,8.457690558114923,2.0800838230519045,4.0,9.28317766722556,2.2894284851066637,6.316359597656379,1.2599210498948732,8.320335292207616,7.883735163105242,6.502957234256936
True,shaft,anomaly_60,B,False,1.5874010519681994,1.2599210498948732,4.0,4.217163326508746,10.000000000000002,6.999999999999999,7.862224182626692,8.320335292207616,6.603854497789252,3.5568933044900626,6.502957234256936,4.308869380063767,5.277632087904077,3.77976314968462,7.651724731089557,1.5874010519681994,10.656022367666111,1.2599210498948732,8.65349742184445,9.654893846056302,5.241482788417794
True,shaft,anomaly_90,A,False,2.0800838230519045,3.1748021039363987,1.4422495703074085,2.519842099789746,7.862224182626692,10.000000000000002,6.839903786706787,6.999999999999999,5.848035476425731,6.868285455319991,6.999999999999999,7.268482371328559,3.5568933044900626,4.641588833612779,10.656022367666111,2.0,6.502957234256936,1.4422495703074085,9.000000000000002,6.603854497789252,4.0
True,shaft,anomaly_90,B,False,1.5874010519681994,2.620741394208897,5.241482788417794,4.217163326508746,9.28317766722556,6.999999999999999,9.000000000000002,8.617738760127533,1.709975946676697,4.578856970213327,7.398636222991413,3.77976314968462,4.820284528350459,4.641588833612778,7.113786608980125,2.0,10.322801154563672,1.0,8.320335292207616,9.892174886497404,5.277632087904077
True,bearings,fault,A,False,1.0,2.0,3.0000000000000004,4.0,7.999999999999998,5.943921952763129,9.000000000000002,10.000000000000002,5.593444710406984,6.316359597656378,7.999999999999998,8.434326653017493,3.1072325059538586,8.276772529143365,3.77976314968462,1.2599210498948732,7.851424410539691,3.77976314968462,5.848035476425733,8.138223044397703,3.4199518933533932
True,bearings,fault,B,False,2.4662120743304703,3.634241185664279,1.4422495703074085,2.519842099789746,4.762203155904598,7.398636222991413,6.316359597656379,7.318611420045943,6.839903786706787,10.000000000000002,11.000000000000002,5.646216173286171,1.8171205928321397,5.1924941018511035,5.428835233189813,6.0731779437513245,2.0800838230519045,6.9520532897729,9.000000000000002,10.000000000000002,1.5874010519681994
