name,x_mean,x_std,x_skew,x_kurt,x_rms,x_pp,x_crest,x_margin,x_shape,x_max,y_mean,y_std,y_skew,y_kurt,y_rms,y_pp,y_crest,y_margin,y_shape,y_max,z_mean,z_std,z_skew,z_kurt,z_rms,z_pp,z_crest,z_margin,z_shape,z_max
k3_3.tsv.part.0,0.00629777595107046,1.3947087551502082,0.008743934051095095,0.008743934051095095,1.3947229738104172,5.173242187500001,1.9300733959292407,2.3361938787028604,1.1137109016537834,2.6919177064428013,0.0007790857651638756,1.930355431534097,0.2941222298155541,0.2941222298155541,1.9303555887524504,8.238867187499999,2.1618388581111816,2.966811304453928,1.2017612543210026,4.065749465762863,0.025094638959099677,0.5610567460862141,0.027164281301342037,0.027164281301342037,0.561617675321333,2.2992187500000014,2.1572082191496276,2.6965496811952008,1.1306584199225918,1.2115262652228864
k3_3.tsv.part.1,0.004433417610077834,1.4008035521378357,-0.008769866994733718,-0.008769866994733718,1.4008105678048275,5.26904296875,1.955880516636373,2.365439315507309,1.1134292345958527,2.739818097067797,-0.004316200884652316,1.952749126689797,0.2446284255456349,0.2446284255456349,1.9527538967770215,8.454418945312504,2.1983664738218796,3.0080016263467098,1.199363221962495,4.161550247012869,0.009325078986673195,0.5602570644642518,-0.009084600819597478,-0.009084600819597478,0.5603346637324952,2.4189697265624943,2.290375616977839,2.8804620979475746,1.1337614038146837,1.2833768511603836
k3_3.tsv.part.2,0.00332513406228372,1.4002094807411571,-0.008805268645974241,-0.008805268645974241,1.4002134289007349,5.316943359375003,1.9738193016403571,2.388445937923408,1.1133448780873396,2.7637682923802984,-0.0006062686695788202,1.958371385892198,0.2156830330985993,0.2156830330985993,1.9583714797359126,8.430468750000003,2.2165197634056604,3.04493710801603,1.2024390740100315,4.089699661075365,-0.0018493307674628543,0.5523165570355091,-0.042699995331566126,-0.042699995331566126,0.5523196530994042,2.442919921875003,2.280249577903799,2.8804963429821258,1.1364540710625555,1.2594266558478893
k3_3.tsv.part.3,-0.004388237663359667,1.4071602945628516,0.0010482964326040073,0.0010482964326040073,1.4071671369187104,5.364843749999999,1.947045255098273,2.3573954053788913,1.1135248778133502,2.739818097067797,0.0017464858111197108,1.9728492840592244,0.19660907852689719,0.19660907852689719,1.9728500571066425,8.478369140624999,2.212392811361638,3.051947730590084,1.2043320051313038,4.113649856387866,-0.013237413832720172,0.5531585762831829,-0.07784684198577542,-0.07784684198577542,0.5533169432076128,2.4189697265624943,2.2687609106768067,2.89622630063272,1.143088545827978,1.1636258745978836
k3_3.tsv.part.4,-0.010638769028249367,1.4037974382646123,-0.005706831133584627,-0.005706831133584627,1.4038377509828992,5.26904296875,1.9346024138856335,2.3422413719693833,1.113843443207884,2.7158679017552956,0.0023968979779395694,1.9803779822417487,0.1864402461511503,0.1864402461511503,1.9803794327521724,8.454418945312497,2.216075064691322,3.0819017505717854,1.205607363723764,4.065749465762863,-0.019332973345587853,0.5523214036104432,-0.11410546570593816,-0.11410546570593816,0.5526596572435801,2.323168945312503,2.2281229333687187,2.9018322669615766,1.154364151759351,1.0917752886603864
k5_1.tsv.part.0,0.002407004016357784,1.4928446266091155,-0.2686317471531546,-0.2686317471531546,1.492846567087202,6.035449218749996,2.1100155319061087,2.526023446947887,1.1195236782758777,2.885519775443285,-0.013873268037686352,2.3204138443554085,0.06670436241140162,0.06670436241140162,2.320455316665738,9.891430664062497,2.228903701981849,2.6381520436761754,1.105556548382934,4.71935921846277,0.05190336052389769,0.2362826833812988,0.5659107829351627,0.5659107829351627,0.2419162361222181,1.8441650390624957,5.170883110906991,8.004716963658524,1.2934851286121687,1.2509205796185654
k5_1.tsv.part.1,0.0032734375526629685,1.492163983369329,-0.2713296720343436,-0.2713296720343436,1.4921675739199112,5.891748046874994,2.0949250624594993,2.5023063028101538,1.1176542519077948,2.765768798880785,-0.02342047334559079,2.326557453994193,0.06152126829214085,0.06152126829214085,2.326675333025146,9.723779296875001,2.1714763539733726,2.56857788049121,1.105300746136425,4.671458827837775,0.020021424057905017,0.2310534529608404,0.5304819950476269,0.5304819950476269,0.23191928670646117,1.7723144531249986,4.980697443376475,7.5947041012305565,1.280284250764262,1.1551197983685668
k5_1.tsv.part.2,-0.00906091303327454,1.5043838426014375,-0.29466543837366616,-0.29466543837366616,1.504411129321125,5.939648437500004,2.1256355869786434,2.529014368442082,1.1150986255110926,2.7418186035682908,0.017273726160383494,2.3277213521647235,0.07628373446423242,0.07628373446423242,2.327785444352428,9.867480468749996,2.1302913391862397,2.5060955083795164,1.1023978137768755,4.95886117158777,-0.006340227194392733,0.22925829100719752,0.5143682411803848,0.5143682411803848,0.2293459449748728,1.8681152343750043,5.245439107830631,7.817823130339775,1.261887295798202,1.2030201889935697
k5_1.tsv.part.3,0.00020217721258938102,1.50141754701169,-0.29553892153246897,-0.29553892153246897,1.5014175606240343,6.011499023437501,2.14582546104306,2.5512855579664144,1.1144577405698635,2.7897189941932865,0.006059399414059979,2.3252304371661703,0.08517356255304669,0.08517356255304669,2.325238332353318,9.651928710937504,2.1007176055394177,2.463920808193844,1.1004295280681045,4.767259609087773,-0.02736004566865745,0.225273681262589,0.5242194433501773,0.5242194433501773,0.22692907166907808,1.7723144531249986,4.984683516907902,7.283930433122249,1.2461649101123566,1.1311696030560654
k5_1.tsv.part.4,0.002190982646872523,1.5067712936575353,-0.3126297367774187,-0.3126297367774187,1.5067728866008179,5.963598632812506,2.138198834007653,2.5402555563470535,1.1137378744646302,2.7418186035682908,0.013960615808820994,2.325217923259458,0.08269122876647061,0.08269122876647061,2.325259832672639,9.747729492187503,2.152198222363899,2.523021708506641,1.1000165513039581,4.743309413775272,-0.03822451171874934,0.22421089517455697,0.4840453741501435,0.4840453741501435,0.22744590304314774,1.6525634765624986,4.5521541955831655,6.567477631850974,1.2360743225902655,1.0353688218060668
