x y z t
-0.229 0.001 9.669 5
0.316 0.078 10.77 5
0.316 0.078 10.77 5
0.316 0.078 10.77 5
0.316 0.078 10.77 5
-0.095 0.02 9.056 5
-0.095 0.02 9.056 5
-0.095 0.02 9.056 5
-0.095 0.02 9.056 5
0.106 0.02 9.764 5
0.106 0.02 9.764 5
0.106 0.02 9.764 5
0.106 0.02 9.764 5
0.029 -0.228 9.391 5
0.029 -0.228 9.391 5
0.029 -0.228 9.391 5
0.029 -0.228 9.391 5
0.048 0.04 9.314 5
0.048 0.04 9.314 5
0.048 0.04 9.314 5
0.048 0.04 9.314 5
0.0 0.174 9.506 5
0.0 0.174 9.506 5
0.0 0.174 9.506 5
0.0 0.174 9.506 5
-0.066 0.011 9.822 5
-0.066 0.011 9.822 5
-0.066 0.011 9.822 5
-0.066 0.011 9.822 5
-0.028 0.001 9.946 5
-0.028 0.001 9.946 5
-0.028 0.001 9.946 5
-0.028 0.001 9.946 5
-0.037 -0.055 9.659 5
-0.037 -0.055 9.659 5
-0.037 -0.055 9.659 5
0.115 0.135 9.353 5
0.115 0.135 9.353 5
0.115 0.135 9.353 5
0.115 0.135 9.353 5
-0.056 -0.065 9.238 5
-0.056 -0.065 9.238 5
-0.056 -0.065 9.238 5
-0.056 -0.065 9.238 5
0.096 -0.084 9.841 5
0.096 -0.084 9.841 5
0.096 -0.084 9.841 5
0.096 -0.084 9.841 5
0.115 -0.017 8.893 5
0.115 -0.017 8.893 5
0.115 -0.017 8.893 5
0.115 -0.017 8.893 5
0.01 0.078 9.985 5
0.01 0.078 9.985 5
0.01 0.078 9.985 5
0.01 0.078 9.985 5
-0.219 0.03 9.908 5
-0.219 0.03 9.908 5
-0.219 0.03 9.908 5
-0.219 0.03 9.908 5
0.096 -0.026 9.458 5
0.096 -0.026 9.458 5
0.096 -0.026 9.458 5
0.096 -0.026 9.458 5
0.029 0.059 10.176 5
0.029 0.059 10.176 5
0.029 0.059 10.176 5
0.029 0.059 10.176 5
0.086 0.059 9.324 5
0.086 0.059 9.324 5
0.086 0.059 9.324 5
0.086 0.059 9.324 5
0.163 -0.151 9.353 5
0.163 -0.151 9.353 5
0.163 -0.151 9.353 5
0.163 -0.151 9.353 5
0.01 -0.017 9.151 5
0.01 -0.017 9.151 5
0.01 -0.017 9.151 5
0.01 -0.017 9.151 5
-0.248 0.087 9.362 5
-0.248 0.087 9.362 5
-0.248 0.087 9.362 5
-0.248 0.087 9.362 5
0.134 0.02 9.726 5
0.134 0.02 9.726 5
0.134 0.02 9.726 5
-0.181 0.126 9.563 5
-0.181 0.126 9.563 5
-0.181 0.126 9.563 5
-0.181 0.126 9.563 5
0.01 -0.036 10.128 5
0.01 -0.036 10.128 5
0.01 -0.036 10.128 5
0.01 -0.036 10.128 5
