t,aX,aY,aZ
1181.152,1.297,0.070,-0.271
1183.655,1.227,-0.939,-0.188
1186.157,1.336,-0.777,0.093
1188.66,1.780,0.128,-0.372
1191.162,0.714,0.053,0.562
1193.665,0.519,0.859,0.287
1196.167,0.581,0.163,-0.133
1198.669,0.882,-0.212,0.257
1201.172,0.882,-0.212,0.257
1203.674,1.496,0.312,-0.316
1206.177,1.546,-0.305,-0.008
1208.679,1.397,-0.688,0.038
1211.182,1.336,0.996,0.210
1213.684,0.827,0.014,0.101
1216.187,0.665,-0.124,0.230
1218.689,1.027,0.254,0.298
1221.191,1.074,-0.414,-0.328
1223.694,1.087,-0.501,0.065
1226.196,1.155,-0.231,0.180
1228.699,0.990,-0.091,0.140
1231.201,0.765,0.378,0.175
1233.704,1.024,1.256,0.473
1236.206,0.550,-0.442,0.098
1238.708,0.680,0.199,0.121
1241.211,1.324,0.123,-0.259
1243.713,1.324,0.123,-0.259
1246.216,1.277,-0.885,-0.220
1248.718,1.409,-0.828,0.074
1251.221,1.842,0.203,-0.431
1253.723,0.690,0.027,0.616
1256.226,0.503,0.773,0.256
1258.728,0.645,0.269,-0.074
1261.23,0.915,-0.203,0.288
1263.733,1.485,0.226,-0.325
1266.235,1.538,-0.372,0.085
1268.738,1.331,-0.595,0.056
1271.24,1.232,1.042,0.327
1273.743,0.882,0.054,0.038
1276.245,0.722,-0.281,0.280
1278.748,1.069,0.344,0.218
1281.25,1.056,-0.361,-0.388
1283.752,1.068,-0.603,0.084
1286.255,1.118,-0.258,0.149
1288.757,1.118,-0.258,0.149
1291.26,1.038,-0.091,0.123
1293.762,0.782,0.276,0.179
1296.265,0.952,1.297,0.456
1298.767,0.501,-0.298,0.087
1301.27,0.672,0.144,0.105
1303.772,1.440,0.179,-0.285
1306.274,1.375,-0.813,-0.176
1308.777,1.516,-0.966,0.045
1311.279,1.867,0.496,-0.473
1313.782,0.636,-0.082,0.538
1316.284,0.457,0.503,0.230
1318.787,0.834,0.326,-0.028
1321.289,1.001,-0.231,0.249
1323.792,1.359,0.118,-0.243
1326.294,1.491,-0.313,0.134
1328.796,1.491,-0.313,0.134
1331.299,1.186,-0.395,0.068
1333.801,1.015,0.944,0.431
1336.304,0.984,0.280,0.038
1338.806,0.753,-0.356,0.178
1341.309,1.003,0.449,0.378
1343.811,1.062,-0.426,-0.408
1346.313,1.030,-0.863,-0.016
1348.816,1.077,-0.327,0.136
1351.318,1.154,-0.035,0.097
1353.821,0.776,0.170,0.312
1356.323,0.909,1.242,0.359
1358.826,0.499,-0.197,0.071
1361.328,0.654,0.124,0.148
1363.831,1.516,0.280,-0.263
1366.333,1.423,-0.770,-0.141
1368.835,1.423,-0.770,-0.141
1371.338,1.538,-0.919,0.043
1373.84,1.766,0.624,-0.372
1376.343,0.615,-0.149,0.452
1378.845,0.492,0.425,0.273
1381.348,0.940,0.390,0.001
1383.85,1.015,-0.388,0.109
1386.353,1.246,-0.070,-0.145
1388.855,1.398,-0.236,0.188
1391.357,1.019,-0.160,0.095
1393.86,0.866,0.765,0.366
1396.362,1.071,0.594,0.188
1398.865,0.740,-0.480,0.257
1401.367,0.912,0.454,0.347
1403.87,1.121,-0.289,-0.366
1406.372,1.105,-1.075,-0.126
1408.875,1.148,-0.469,0.155
1411.377,1.148,-0.469,0.155
1413.879,1.479,-0.008,-0.093
1416.382,0.753,0.124,0.387
1418.884,0.732,1.141,0.284
1421.387,0.415,0.140,0.038
1423.889,0.734,-0.106,0.188
1426.392,1.601,0.279,-0.356
1428.894,1.495,-0.606,-0.078
1431.396,1.512,-0.828,0.069
1433.899,1.594,0.784,-0.149
1436.401,0.699,-0.247,0.319
1438.904,0.579,0.233,0.258
1441.406,1.023,0.428,0.026
1443.909,1.047,-0.434,-0.055
1446.411,1.194,-0.188,-0.056
1448.914,1.355,-0.191,0.204
1451.416,0.968,-0.146,0.092
1453.918,0.968,-0.146,0.092
1456.421,0.800,0.628,0.363
1458.923,1.079,0.836,0.211
1461.426,0.748,-0.424,0.156
1463.928,0.824,0.345,0.254
1466.431,1.146,-0.200,-0.306
1468.933,1.065,-1.064,-0.156
1471.436,1.172,-0.502,0.167
1473.938,1.637,0.077,-0.200
1476.44,0.769,-0.004,0.440
1478.943,0.659,0.967,0.321
1481.445,0.443,0.318,-0.010
1483.948,0.777,-0.158,0.237
1486.45,1.612,0.256,-0.360
1488.953,1.577,-0.485,0.000
1491.455,1.480,-0.751,0.043
1493.958,1.480,-0.751,0.043
1496.46,1.451,0.913,0.063
1498.962,0.788,-0.122,0.155
1501.465,0.663,0.047,0.256
1503.967,1.046,0.335,0.173
1506.47,0.996,-0.479,-0.270
1508.972,1.037,-0.434,0.062
1511.475,1.155,-0.122,0.237
1513.977,1.003,-0.087,0.129
1516.479,0.790,0.288,0.179
1518.982,1.061,1.148,0.378
1521.484,0.616,-0.302,0.172
1523.987,0.701,0.266,0.134
1526.489,1.295,-0.057,-0.327
1528.992,1.241,-1.010,-0.247
1531.494,1.329,-0.695,0.089
1533.997,1.800,0.223,-0.376
1536.499,1.800,0.223,-0.376
1539.001,0.756,-0.056,0.511
1541.504,0.565,0.873,0.280
1544.006,0.559,0.293,-0.062
1546.509,0.852,-0.226,0.280
1549.011,1.563,0.226,-0.324
1551.514,1.609,-0.348,0.032
1554.016,1.386,-0.618,0.045
1556.519,1.240,0.929,0.246
1559.021,0.873,-0.020,0.086
1561.523,0.688,0.027,0.188
1564.026,1.030,0.334,0.226
1566.528,1.015,-0.533,-0.372
1569.031,1.034,-0.562,0.061
1571.533,1.131,-0.141,0.206
1574.036,1.030,-0.067,0.144
1576.538,0.740,0.202,0.121
1579.041,0.740,0.202,0.121
1581.543,1.023,1.249,0.478
1584.045,0.603,-0.305,0.210
1586.548,0.696,0.188,0.090
1589.05,1.336,0.032,-0.289
1591.553,1.249,-0.938,-0.188
1594.055,1.357,-0.798,0.087
1596.558,1.826,0.184,-0.431
1599.06,0.722,-0.009,0.616
1601.562,0.530,0.922,0.262
1604.065,0.587,0.279,-0.102
1606.567,0.862,-0.283,0.289
1609.07,1.517,0.240,-0.325
1611.572,1.574,-0.289,0.055
1614.075,1.331,-0.594,0.062
1616.577,1.242,0.926,0.288
1619.08,0.913,0.056,0.039
1621.582,0.913,0.056,0.039
1624.084,0.756,-0.171,0.355
1626.587,1.053,0.328,0.190
1629.089,0.996,-0.501,-0.395
1631.592,1.007,-0.608,0.073
1634.094,1.123,-0.212,0.222
1636.597,1.053,-0.125,0.117
1639.099,0.769,0.222,0.225
1641.602,0.956,1.412,0.438
1644.104,0.587,-0.234,0.097
1646.606,0.667,0.105,0.121
1649.109,1.384,0.079,-0.302
1651.611,1.280,-0.819,-0.204
1654.114,1.404,-0.821,0.077
1656.616,1.862,0.297,-0.446
1659.119,0.702,-0.035,0.503
1661.621,0.507,0.722,0.246
1664.124,0.507,0.722,0.246
1666.626,0.715,0.315,-0.116
1669.128,0.953,-0.328,0.234
1671.631,1.476,0.190,-0.283
1674.133,1.527,-0.305,0.076
1676.636,1.228,-0.585,0.048
1679.138,1.132,0.977,0.366
1681.641,0.965,0.262,0.131
1684.143,0.759,-0.263,0.184
1686.646,1.030,0.311,0.319
1689.148,0.991,-0.500,-0.368
1691.65,1.012,-0.632,0.014
1694.153,1.101,-0.216,0.187
1696.655,1.107,-0.173,0.094
1699.158,0.769,0.190,0.181
1701.66,0.984,1.344,0.487
1704.163,0.530,-0.275,0.152
1706.665,0.530,-0.275,0.152
1709.167,0.688,0.105,0.090
1711.67,1.451,0.159,-0.316
1714.172,1.345,-0.876,-0.221
1716.675,1.452,-0.891,0.102
1719.177,1.844,0.343,-0.421
1721.68,0.617,0.019,0.548
1724.182,0.476,0.652,0.246
1726.685,0.757,0.240,-0.066
1729.187,0.952,-0.328,0.246
1731.689,1.398,0.190,-0.238
1734.192,1.515,-0.257,0.148
1736.694,1.202,-0.470,0.043
1739.197,1.030,0.906,0.371
1741.699,1.022,0.359,0.062
1744.202,0.767,-0.307,0.113
1746.704,0.995,0.352,0.366
1749.207,0.995,0.352,0.366
1751.709,1.069,-0.466,-0.390
1754.211,1.012,-0.852,-0.001
1756.714,1.070,-0.354,0.188
1759.216,1.175,-0.098,0.051
1761.719,0.772,0.246,0.296
1764.221,0.922,1.336,0.350
1766.724,0.457,-0.242,0.120
1769.226,0.637,0.048,0.084
1771.729,1.523,0.315,-0.281
1774.231,1.430,-0.688,-0.138
1776.733,1.542,-1.040,0.046
1779.236,1.843,0.542,-0.399
1781.738,0.623,-0.044,0.384
1784.241,0.487,0.503,0.225
1786.743,0.913,0.267,0.086
1789.246,1.029,-0.368,0.155
1791.748,1.029,-0.368,0.155
1794.25,1.284,0.076,-0.142
1796.753,1.413,-0.255,0.193
1799.255,1.062,-0.291,0.097
1801.758,0.905,0.922,0.484
1804.26,1.071,0.477,0.117
1806.763,0.765,-0.484,0.288
1809.265,0.930,0.312,0.397
1811.768,1.059,-0.337,-0.388
1814.27,1.047,-0.930,-0.080
1816.772,1.116,-0.453,0.172
1819.275,1.343,-0.070,0.046
1821.777,0.762,0.186,0.378
1824.28,0.845,1.336,0.359
1826.782,0.430,-0.124,0.029
1829.285,0.681,-0.020,0.194
1831.787,1.569,0.290,-0.278
1834.29,1.569,0.290,-0.278
1836.792,1.454,-0.633,-0.195
1839.294,1.531,-0.952,0.050
1841.797,1.719,0.781,-0.278
1844.299,0.732,-0.104,0.324
1846.802,0.534,0.258,0.175
1849.304,0.937,0.340,-0.020
1851.807,1.056,-0.345,-0.031
1854.309,1.187,-0.101,-0.077
1856.812,1.398,-0.274,0.179
1859.314,1.068,-0.188,0.120
1861.816,0.824,0.670,0.390
1864.319,1.042,0.887,0.297
1866.821,0.722,-0.578,0.248
1869.324,0.882,0.350,0.298
1871.826,1.128,-0.207,-0.335
1874.329,1.078,-1.046,-0.148
1876.831,1.078,-1.046,-0.148
1879.333,1.180,-0.563,0.140
1881.836,1.604,0.094,-0.149
