,train,test,features,f,k,domain
111,0.8910641194577293,0.7536786496585491,"['kurtosis', 'shape', 'impulse']",3,3,temporal
112,0.8925699756233714,0.7493297031422441,"['kurtosis', 'shape', 'clearance']",3,3,temporal
113,0.8913994424699319,0.7530131146255246,"['kurtosis', 'crest', 'impulse']",3,3,temporal
114,0.8903949433807743,0.7563575962308757,"['kurtosis', 'crest', 'clearance']",3,3,temporal
115,0.8907293914242566,0.7573609407124811,"['kurtosis', 'impulse', 'clearance']",3,3,temporal
116,0.8908965454485003,0.7479930309294521,"['shape', 'crest', 'impulse']",3,3,temporal
117,0.8905617124187811,0.7476597031982657,"['shape', 'crest', 'clearance']",3,3,temporal
118,0.8892231502723777,0.7423023702682868,"['shape', 'impulse', 'clearance']",3,3,temporal
119,0.8892232902673729,0.744310179660846,"['crest', 'impulse', 'clearance']",3,3,temporal
120,0.9154957310276158,0.8550819874175783,"['zerocross', 'pp', 'aac']",3,5,temporal
121,0.9009377564752061,0.8390195122771045,"['zerocross', 'pp', 'rms']",3,5,temporal
122,0.9120657836482344,0.8490585592399007,"['zerocross', 'pp', 'skewness']",3,5,temporal
123,0.8760045778363423,0.7981865850994101,"['zerocross', 'pp', 'kurtosis']",3,5,temporal
124,0.9144078649188291,0.848716268073926,"['zerocross', 'pp', 'shape']",3,5,temporal
125,0.9023598256362335,0.8443656409135981,"['zerocross', 'pp', 'crest']",3,5,temporal
126,0.9033636947479128,0.8436984252365507,"['zerocross', 'pp', 'impulse']",3,5,temporal
127,0.902610556672599,0.8416906158439914,"['zerocross', 'pp', 'clearance']",3,5,temporal
128,0.9051206319374083,0.8293193951922377,"['zerocross', 'aac', 'rms']",3,5,temporal
129,0.907212542151618,0.8353389018671955,"['zerocross', 'aac', 'skewness']",3,5,temporal
130,0.8676375319582326,0.7744323624813028,"['zerocross', 'aac', 'kurtosis']",3,5,temporal
131,0.9190933574124726,0.8557492030946259,"['zerocross', 'aac', 'shape']",3,5,temporal
132,0.8995988793400637,0.8346666442580798,"['zerocross', 'aac', 'crest']",3,5,temporal
133,0.9027782006793258,0.8370083415964997,"['zerocross', 'aac', 'impulse']",3,5,temporal
134,0.9041170078169705,0.8383455740239659,"['zerocross', 'aac', 'clearance']",3,5,temporal
135,0.9113960125925498,0.8500658252242259,"['zerocross', 'rms', 'skewness']",3,5,temporal
136,0.8803553422965129,0.7998666689075253,"['zerocross', 'rms', 'kurtosis']",3,5,temporal
137,0.9106427345222409,0.84872467129404,"['zerocross', 'rms', 'shape']",3,5,temporal
138,0.9011048755007008,0.8423606325944102,"['zerocross', 'rms', 'crest']",3,5,temporal
139,0.9037819647947586,0.840689512221083,"['zerocross', 'rms', 'impulse']",3,5,temporal
140,0.9030291067094351,0.8426978818283166,"['zerocross', 'rms', 'clearance']",3,5,temporal
141,0.8222891981611656,0.7004565749595245,"['zerocross', 'skewness', 'kurtosis']",3,5,temporal
142,0.885040029818934,0.8058800132210664,"['zerocross', 'skewness', 'shape']",3,5,temporal
143,0.8619477503679244,0.7670571362946281,"['zerocross', 'skewness', 'crest']",3,5,temporal
144,0.8621986913967825,0.7663893604029064,"['zerocross', 'skewness', 'impulse']",3,5,temporal
145,0.8628678674737378,0.7670593771533252,"['zerocross', 'skewness', 'clearance']",3,5,temporal
146,0.8427042133243736,0.7402979221637731,"['zerocross', 'kurtosis', 'shape']",3,5,temporal
147,0.8247993784222214,0.694101499694683,"['zerocross', 'kurtosis', 'crest']",3,5,temporal
148,0.8306566990230099,0.7095034817342005,"['zerocross', 'kurtosis', 'impulse']",3,5,temporal
149,0.8348400994664441,0.714524125644947,"['zerocross', 'kurtosis', 'clearance']",3,5,temporal
150,0.885375737817373,0.8062223043870411,"['zerocross', 'shape', 'crest']",3,5,temporal
151,0.8823634305073593,0.8038789264045982,"['zerocross', 'shape', 'impulse']",3,5,temporal
152,0.8821124894785012,0.8025400133331093,"['zerocross', 'shape', 'clearance']",3,5,temporal
153,0.8348397844777049,0.7061528377674324,"['zerocross', 'crest', 'impulse']",3,5,temporal
154,0.8473901258030025,0.7295770939423987,"['zerocross', 'crest', 'clearance']",3,5,temporal
155,0.8388562408893883,0.7212153297143465,"['zerocross', 'impulse', 'clearance']",3,5,temporal
156,0.8903953633657598,0.8246354403007231,"['pp', 'aac', 'rms']",3,5,temporal
157,0.8940765317639896,0.8259709920841667,"['pp', 'aac', 'skewness']",3,5,temporal
158,0.8430392563465856,0.7356111661988873,"['pp', 'aac', 'kurtosis']",3,5,temporal
159,0.8934070756970438,0.8165974801543952,"['pp', 'aac', 'shape']",3,5,temporal
160,0.8824473225082203,0.8045562259457825,"['pp', 'aac', 'crest']",3,5,temporal
161,0.8858774798800942,0.8129235923205773,"['pp', 'aac', 'impulse']",3,5,temporal
162,0.8882200511331722,0.8152641692296487,"['pp', 'aac', 'clearance']",3,5,temporal
163,0.8619482753491564,0.7928432575362878,"['pp', 'rms', 'skewness']",3,5,temporal
164,0.8335849393384187,0.7272370772480015,"['pp', 'rms', 'kurtosis']",3,5,temporal
165,0.8583500189868211,0.762716592998437,"['pp', 'rms', 'shape']",3,5,temporal
166,0.8252178234628114,0.7111768429662246,"['pp', 'rms', 'crest']",3,5,temporal
167,0.8231264382298333,0.7115129717707825,"['pp', 'rms', 'impulse']",3,5,temporal
168,0.8207001499696387,0.7175386408071573,"['pp', 'rms', 'clearance']",3,5,temporal
169,0.8066436024912109,0.7158680806485045,"['pp', 'skewness', 'kurtosis']",3,5,temporal
170,0.883785464669638,0.801211184125757,"['pp', 'skewness', 'shape']",3,5,temporal
171,0.8555056706722735,0.7777768440866539,"['pp', 'skewness', 'crest']",3,5,temporal
172,0.8537485584890339,0.7787841100709791,"['pp', 'skewness', 'impulse']",3,5,temporal
